groupId,fileId,username,rank,subm_ts
0,1003,invincible142002,1005,1718508682.0
0,1122,randomGirl,1123,1718508694.0
0,942,Dhruv_1018,942,1718508547.0
0,825,bhatganeshdarshan10,827,1718508255.0
0,322,death_of_might,322,1718506878.0
0,815,Anand-Bharti,814,1718507931.0
0,765,ayan_200,766,1718508122.0
0,818,mfk443838746,818,1718507937.0
0,276,_brucewayne_,278,1718506429.0
0,1186,pensive-easleys0j,1185,1718508835.0
0,684,joyjitdas_7,685,1718507931.0
0,1170,PrepAcc,1168,1718507605.0
0,1021,_mohit__,1020,1718509020.0
0,194,feibonaqixu,196,1718507034.0
0,790,kingm01,791,1718507287.0
0,316,xyz_xyz_xyz_xyz,314,1718506841.0
0,1189,chaitanyaarora30,1189,1718508839.0
0,649,g0rez,646,1718506924.0
0,941,parasNAGPAL99,940,1718508541.0
0,203,mahesh_02,200,1718506150.0
0,45,curiosity-10,42,1718506209.0
0,1130,Abhishek_m07,1131,1718509017.0
0,1112,braindroid,1113,1718507173.0
0,520,being_sukham,521,1718507778.0
0,669,krishrb2517,666,1718507875.0
1,220,ja235711,219,1718506826.0
1,399,n124345679976,400,1718506836.0
1,84,Silken,83,1718505671.0
2,225,wisdompeak,225,1718506838.0
2,300,KaivinC,299,1718507103.0
2,1019,waster,1022,1718507826.0
3,379,swarriors223,380,1718507675.0
3,611,waiting_you,605,1718507429.0
3,389,Jay_Dhanwalkar,389,1718507399.0
4,93,wOvOpy,98,1718506512.0
4,117,gallant-hellman60e,119,1718506383.0
4,767,CQUPT_CZL,772,1718507829.0
5,662,jam-hsu,663,1718508472.0
5,1032,user6639bv,1033,1718508455.0
6,46,tmoux,49,1718505978.0
6,510,charleswang2001,512,1718507137.0
7,1022,mr_kamran,1025,1718509033.0
7,1056,ShyamSunder_11,1056,1718508514.0
8,405,dokenobuggy799,405,1718507763.0
8,975,aayuushh15,974,1718508016.0
9,59,jszhang710,62,1718506386.0
9,250,m-iller,250,1718506341.0
10,711,malikmanish09876,712,1718507812.0
10,878,12112209,881,1718507639.0
11,416,tiny-snow,415,1718507796.0
11,732,Tiny_Snow,734,1718507740.0
12,503,9560kiran,501,1718508006.0
12,604,abhisheksoni125,603,1718508326.0
13,469,rudra_rps,470,1718507635.0
13,798,Sahil_JJ,797,1718508503.0
14,128,taoz-kc,131,1718506466.0
14,606,rukt,610,1718507136.0
15,564,deepanju014,564,1718507318.0
15,860,Harshitcode,862,1718507155.0
16,219,YakultSea,221,1718507100.0
16,497,qq1239426256,497,1718507091.0
17,460,aypatrl04,457,1718507897.0
17,1148,aypatrl,1152,1718507879.0
